BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean,ExcessRideTimePrServicedRequest_mean
Gen_Data_100_0.7_1,345.38399999999996,8.634,9.4,4.0,5016.896891735741,5027.575712028249,576.2,6.8,6099.0,2039.0,2241.6,60.0,0.0,40.0,4.0,3.3022,2.026
Gen_Data_100_0.7_2,356.148,8.906,15.6,0.2,1272.9417431081993,5028.502693494595,526.8,4.8,6069.6,2007.0,2346.0,60.0,0.0,40.0,0.2,8.063799999999999,3.3899999999999997
Gen_Data_100_0.7_3,370.254,9.255999999999998,11.0,3.4,4411.0607290954085,5253.008988752825,477.6,4.4,6227.8,2104.6,2308.0,60.0,0.0,40.0,3.4,6.1526,2.0340000000000003
Gen_Data_100_0.7_4,398.04,9.95,14.0,4.8,5826.695187388813,4998.478821883985,377.4,3.6,5863.2,1944.2,2222.6,60.0,0.0,40.0,4.8,7.5784,2.784
Gen_Data_100_0.7_5,358.08399999999995,8.952,10.4,2.6,3621.928867944868,5077.917448814574,465.0,6.2,6044.4,2130.4,2344.0,60.0,0.0,40.0,2.6,6.881,2.136
Gen_Data_100_0.7_6,378.276,9.458,15.8,3.6,4667.839571411865,5205.544480670718,436.0,15.0,6133.2,2189.8,2635.2,60.0,0.0,40.0,3.6,13.882,4.454
Gen_Data_100_0.7_7,356.824,8.92,15.0,5.2,6236.782933893466,4841.0713749099195,482.4,19.0,5809.0,2072.0,2503.4,60.0,0.0,40.0,5.2,12.365,4.314
Gen_Data_100_0.7_8,393.82199999999995,9.846,10.4,2.4,3410.147458157736,4867.6415819785425,502.6,15.0,5874.4,1879.2,2042.8,60.0,0.0,40.0,2.4,4.6814,1.636
Gen_Data_100_0.7_9,366.79599999999994,9.17,11.4,4.4,5409.957917255052,5223.435982931612,501.4,4.2,6219.2,2188.2,2444.8,60.0,0.0,40.0,4.4,7.2964,2.566
Gen_Data_100_0.7_10,311.804,7.795999999999999,9.4,0.2,1245.4627285360064,5080.960727153113,443.8,3.6,6035.6,1885.6,2086.2,60.0,0.0,40.0,0.2,5.1614,2.006
