BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean,ExcessRideTimePrServicedRequest_mean
Gen_Data_100_0.7_1,1200.65,0.0,0.0,0.6,1615.5586720135775,5168.821285005171,144.0,2.4,5818.6,2156.2,2240.0,60.0,0.6,40.0,0.0,1.4638000000000002,0.8379999999999999
Gen_Data_100_0.7_2,346.244,0.0,0.0,0.0,1016.535266772187,5031.41894086229,87.0,0.0,5626.0,2014.0,2087.0,60.0,0.0,40.0,0.0,3.7039999999999997,0.73
Gen_Data_100_0.7_3,1200.7499999999998,0.0,0.0,1.0,1994.6359692035344,4991.088880845763,77.0,0.2,5568.8,2123.0,2145.6,60.0,1.0,40.0,0.0,1.6026,0.22599999999999998
Gen_Data_100_0.7_4,1200.57,0.0,0.0,1.0,2025.2322379996556,4967.609963909521,25.8,0.8,5498.6,2002.0,2161.8,60.0,1.0,40.0,0.0,5.5662,1.598
Gen_Data_100_0.7_5,483.808,0.0,0.0,0.0,1025.7380179477307,5232.228842336013,95.4,0.0,5833.6,2234.0,2318.4,60.0,0.0,40.0,0.0,2.5851999999999995,0.8440000000000001
Gen_Data_100_0.7_6,1200.642,0.0,0.0,1.0,2008.550547683712,4985.835399226453,92.8,0.0,5580.0,2208.0,2294.8,60.0,1.0,40.0,0.0,5.264,0.8680000000000001
Gen_Data_100_0.7_7,1200.6039999999998,0.0,0.0,2.0,2999.154652600442,4933.614285858448,54.2,0.0,5486.0,2138.4,2231.4,60.0,2.0,40.0,0.0,4.7105999999999995,0.93
Gen_Data_100_0.7_8,556.182,0.0,0.0,0.0,1001.7647058823204,4795.7233662913,111.0,0.0,5413.0,1903.0,1915.0,60.0,0.0,40.0,0.0,0.714,0.12
Gen_Data_100_0.7_9,688.3399999999999,0.0,0.0,0.0,1081.4993925086892,5101.8038016832,127.2,0.8,5743.2,2360.0,2775.6,60.0,0.0,40.0,0.0,11.142800000000001,4.156
Gen_Data_100_0.7_10,456.95799999999997,0.0,0.0,0.0,1000.2264150942814,5037.853094990487,167.0,0.0,5713.8,1887.0,1888.2,60.0,0.0,40.0,0.0,0.1852,0.012
