BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean,ExcessRideTimePrServicedRequest_mean
Gen_Data_500_0.7_1,4019.5980000000004,20.098000000000003,18.4,2.2,7260.172806782672,25781.59125474508,2463.2,27.6,30803.4,10587.6,10980.4,300.0,0.0,200.0,2.2,2.749,0.7856
Gen_Data_500_0.7_2,4027.0620000000004,20.136,14.2,7.4,12424.890430674564,26240.4342220919,2541.2,20.6,31324.8,11113.8,11530.8,300.0,0.0,200.0,7.4,3.3329999999999997,0.834
Gen_Data_500_0.7_3,4017.654,20.089999999999996,16.2,9.4,14436.009142941824,26092.36874302722,2994.0,45.4,31616.6,10805.6,11395.8,300.0,0.0,200.0,9.4,3.7414,1.1804000000000001
Gen_Data_500_0.7_4,4026.708,20.134,19.4,4.6,9674.928245035335,25752.687842626317,3328.6,29.4,31630.8,10700.4,11287.4,300.0,0.0,200.0,4.6,3.849,1.174
Gen_Data_500_0.7_5,4025.91,20.127999999999997,13.4,0.8,5864.842593703268,25497.582780980847,2839.2,9.4,30895.6,10605.0,10962.4,300.0,0.0,200.0,0.8,2.5442,0.7148000000000001
Gen_Data_500_0.7_6,4020.6700000000005,20.1,12.8,10.0,14996.839101300939,26027.34505986372,3103.0,28.0,31655.6,10090.4,10543.4,300.0,1.0,200.0,9.0,3.2936,0.9059999999999999
Gen_Data_500_0.7_7,4002.7419999999997,20.012,19.2,1.8,6838.85253392404,26029.901120009217,3209.6,16.0,31797.4,10680.0,10934.6,300.0,0.0,200.0,1.8,1.8801999999999999,0.5092
Gen_Data_500_0.7_8,4015.612,20.08,10.4,4.0,9043.978421373282,25757.763602270345,3475.8,22.0,31792.8,10647.8,11035.6,300.0,0.0,200.0,4.0,3.3242,0.7756
Gen_Data_500_0.7_9,4015.87,20.078,14.0,7.0,12017.168168794135,25938.349164667412,3311.6,15.2,31782.2,10285.6,10653.0,300.0,0.0,200.0,7.0,2.5642,0.7348000000000001
Gen_Data_500_0.7_10,4029.4379999999996,20.145999999999997,10.8,1.4,6500.2239423274705,26210.655601270217,2924.6,22.8,31710.2,11262.8,11764.8,300.0,0.0,200.0,1.4,4.0164,1.004
