BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean,ExcessRideTimePrServicedRequest_mean
Gen_Data_500_0.7_1,4019.5480000000002,20.098000000000003,19.4,1.0,6077.566578831116,25780.63451157778,2381.0,31.4,30695.8,10627.6,11037.0,300.0,0.0,200.0,1.0,2.6676,0.8188000000000001
Gen_Data_500_0.7_2,4025.0800000000004,20.124000000000002,17.8,3.4,8464.21543227043,25635.217300612054,2170.6,16.8,30339.2,11238.8,11664.4,300.0,0.0,200.0,3.4,3.4926000000000004,0.8512000000000001
Gen_Data_500_0.7_3,4017.3619999999996,20.088,19.8,6.0,11035.815833970313,25727.93616318028,3147.6,21.8,31393.8,10885.0,11347.4,300.0,0.0,200.0,6.0,3.3204000000000002,0.9248000000000001
Gen_Data_500_0.7_4,4023.696,20.119999999999997,17.6,2.6,7695.339843655265,25596.12692463877,2597.8,18.4,30735.0,10775.4,11367.6,300.0,0.0,200.0,2.6,3.6841999999999997,1.1844
Gen_Data_500_0.7_5,4025.546,20.125999999999998,15.6,1.2,6255.541836596045,25551.072235393953,1819.6,4.8,29903.0,10596.8,10901.6,300.0,0.0,200.0,1.2,2.368,0.6096
Gen_Data_500_0.7_6,4017.1620000000003,20.086,16.4,9.2,14244.763939948523,25972.901273894233,3116.8,24.2,31592.0,10156.8,10749.6,300.0,1.0,200.0,8.2,3.6601999999999997,1.1856
Gen_Data_500_0.7_7,4003.156,20.018,17.8,1.2,6234.358428734129,25706.820108073054,3269.0,17.0,31517.2,10691.6,10904.8,300.0,0.0,200.0,1.2,1.544,0.42639999999999995
Gen_Data_500_0.7_8,4016.942,20.083999999999996,13.8,3.4,8426.840134887072,25422.703420756457,3479.6,16.2,31435.0,10654.8,10957.2,300.0,0.0,200.0,3.4,2.838,0.6048000000000001
Gen_Data_500_0.7_9,4012.488,20.062,18.8,3.4,8493.875015015623,25904.88078178101,2391.0,18.4,30816.0,10377.8,10904.4,300.0,0.0,200.0,3.4,3.4882000000000004,1.0532
Gen_Data_500_0.7_10,4023.148,20.118000000000002,11.2,0.6,5665.401791257275,25860.68456275584,2228.4,30.6,30634.4,11271.0,11637.2,300.0,0.0,200.0,0.6,2.3978,0.7323999999999999
