ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing,ExcessRideTimePrServicedRequest
Gen_Data_100_0.7_1_Run3,911.46,9.11,0,43,43624.231410182314,4786.0733341693385,1143,2,6254,1264,1374,0,0,100,43,5.877,1.1
Gen_Data_100_0.7_2_Run3,881.24,8.81,3,41,41601.02564102564,4967.0709217960575,1159,0,6463,1094,1137,0,0,100,41,0.877,0.43
Gen_Data_100_0.7_3_Run3,823.59,8.24,3,38,38643.89855072464,4793.404121643376,1233,0,6373,1313,1376,0,0,100,38,2.256,0.63
Gen_Data_100_0.7_4_Run3,887.71,8.88,3,41,41610.46074879227,4878.70554460127,1176,0,6385,1382,1469,0,0,100,41,5.439,0.87
Gen_Data_100_0.7_5_Run3,786.3,7.86,4,36,36688.039033004505,4654.705185147727,1292,0,6314,1261,1381,0,0,100,36,4.173,1.2
Gen_Data_100_0.7_6_Run3,954.45,9.54,2,45,45566.593624240515,5004.4911819043355,1179,0,6500,1261,1336,0,0,100,45,3.684,0.75
Gen_Data_100_0.7_7_Run3,805.69,8.06,0,37,37636.36363636364,4562.37096100587,1412,0,6331,1088,1102,0,0,100,37,1.053,0.14
Gen_Data_100_0.7_8_Run3,843.04,8.43,1,39,39616.753607103215,4876.357817808155,1175,0,6396,1295,1333,0,0,100,39,3.158,0.38
Gen_Data_100_0.7_9_Run3,989.14,9.89,1,47,47540.278840896666,4785.778785634884,1330,0,6420,1147,1195,0,0,100,47,2.368,0.48
Gen_Data_100_0.7_10_Run3,989.48,9.89,0,47,47530.0,4581.1939555819,1531,0,6425,898,898,0,0,100,47,0.0,0.0
