ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing,ExcessRideTimePrServicedRequest
Gen_Data_100_0.7_1_Run4,390.55,9.76,8,5,5994.840787119857,4994.620431770805,649,1,6136,1994,2134,60,0,40,5,2.16,1.4
Gen_Data_100_0.7_2_Run4,383.54,9.59,13,1,2060.8496749282463,4976.764439869247,607,0,6097,1979,2296,60,0,40,1,7.383,3.17
Gen_Data_100_0.7_3_Run4,367.74,9.19,9,4,5033.13526625926,5184.194188424924,499,0,6178,2098,2448,60,0,40,4,8.64,3.5
Gen_Data_100_0.7_4_Run4,425.08,10.63,12,4,5012.0243630288405,4991.016762240688,327,0,5812,1955,2188,60,0,40,4,7.474,2.33
Gen_Data_100_0.7_5_Run4,346.5,8.66,11,2,3074.774832270527,5069.57158156921,420,0,5988,2161,2466,60,0,40,2,8.915,3.05
Gen_Data_100_0.7_6_Run4,379.47,9.49,17,4,5041.953207944591,5250.717742152136,407,9,6146,2188,2535,60,0,40,4,10.8,3.47
Gen_Data_100_0.7_7_Run4,351.65,8.79,16,5,6010.912485381529,4874.46055439713,455,13,5813,2042,2357,60,0,40,5,10.802,3.15
Gen_Data_100_0.7_8_Run4,406.37,10.16,10,4,4991.756043105502,4862.175476396418,513,15,5872,1851,2008,60,0,40,4,4.52,1.57
Gen_Data_100_0.7_9_Run4,365.09,9.13,16,4,5006.537933790538,5184.9795079520545,455,3,6139,2170,2399,60,0,40,4,8.869,2.29
Gen_Data_100_0.7_10_Run4,328.78,8.22,11,1,2040.5178111783025,5206.083767261,368,0,6084,1880,2099,60,0,40,1,5.344,2.19
