ScenarioName,TotalCost_mean,nTaxi_mean
Gen_Data_300_1,5852.409171422228,2.6666666666666665
Gen_Data_300_2,5779.93077242973,2.3333333333333335
Gen_Data_300_3,7628.054116701268,4.333333333333333
Gen_Data_300_4,6997.371356892843,3.6666666666666665
Gen_Data_300_5,8216.299448714888,5.0
Gen_Data_300_6,6298.311157666714,3.0
Gen_Data_300_7,10702.315315986783,7.333333333333333
Gen_Data_300_8,7173.517914786142,3.6666666666666665
Gen_Data_300_9,4066.2090755134013,0.6666666666666666
Gen_Data_300_10,9887.025289285206,6.666666666666667
