ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests
Gen_Data_500_1,2009.25,10.05,11,66,70806.17210860782,31961.572667442215,18999,0,53193,18690,21294,300,17,200,49
Gen_Data_500_2,2015.15,10.08,20,51,56000.15113823393,31183.11010029599,19103,7,52596,18612,21379,300,11,200,40
Gen_Data_500_3,2006.93,10.03,16,94,98660.03139182877,29122.47191908181,22090,17,53305,16785,19603,300,38,200,56
Gen_Data_500_4,2014.66,10.07,13,71,75760.33008044834,31261.918984611155,18544,16,52036,18038,20630,300,11,200,60
Gen_Data_500_5,2008.99,10.04,14,71,75883.86521131951,31570.672326754484,20136,21,53911,18179,21183,300,13,200,58
Gen_Data_500_6,2003.27,10.02,10,64,68976.9074600559,31450.68357420171,19456,62,53160,17783,20776,300,10,200,54
Gen_Data_500_7,2016.35,10.08,11,62,67033.73828597376,30745.620499850153,17228,57,50235,18175,21253,300,12,200,50
Gen_Data_500_8,2016.8,10.08,14,59,63946.88897447431,31617.104464142012,19726,10,53619,18106,21086,300,16,200,43
Gen_Data_500_9,2012.82,10.06,14,73,77721.6013404095,30477.275165990835,20773,26,53467,16785,19019,300,19,200,54
Gen_Data_500_10,2007.72,10.04,12,63,67946.28537640814,31994.09419298887,19477,8,53751,18679,21875,300,12,200,51
