ScenarioName,TotalCost,nTaxi
Gen_Data_300_1,7157.036707342541,4
Gen_Data_300_1,6262.848885040621,3
Gen_Data_300_2,9263.017254351726,6
Gen_Data_300_2,12247.655336231848,9
Gen_Data_300_3,11493.88406313206,8
Gen_Data_300_3,13248.98169828248,10
Gen_Data_300_4,5187.633745517265,2
Gen_Data_300_4,6216.293573042225,3
Gen_Data_300_5,6589.87029165026,3
Gen_Data_300_5,8458.225689160246,5
Gen_Data_300_6,10170.868063807082,7
Gen_Data_300_6,9175.358994926592,6
Gen_Data_300_7,4325.971282154929,1
Gen_Data_300_7,9348.265466648176,6
Gen_Data_300_8,4345.3691245193195,1
Gen_Data_300_8,6319.22664639146,3
Gen_Data_300_9,9249.286410427681,6
Gen_Data_300_9,6305.548265909534,3
Gen_Data_300_10,8264.330094828332,5
Gen_Data_300_10,5342.672581956187,2
