ScenarioName,TotalCost_mean,nTaxi_mean
Gen_Data_300_1,14657.010517119747,11.4
Gen_Data_300_2,17657.79029115617,14.4
Gen_Data_300_3,15184.289578638427,11.8
Gen_Data_300_4,4647.163820914384,1.4
Gen_Data_300_5,8438.74533397629,5.2
Gen_Data_300_6,17767.678346763358,14.4
Gen_Data_300_7,15925.234672954615,12.6
Gen_Data_300_8,4233.128987742924,1.0
Gen_Data_300_9,7655.936215794261,4.2
Gen_Data_300_10,4423.841828279396,1.2
