ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing,ExcessRideTimePrServicedRequest
Gen_Data_300_0.7_1_Run3,2380.66,19.84,13,2,5013.566719591073,15029.859704505157,1910,0,18450,5770,5931,180,0,120,2,2.21,0.5366666666666666
Gen_Data_300_0.7_2_Run3,2383.25,19.86,14,0,3060.7002133278206,15782.246515464103,1775,8,19076,6920,7183,180,0,120,0,3.042,0.8766666666666667
Gen_Data_300_0.7_3_Run3,2392.65,19.94,9,1,4164.078625600041,15225.560379161343,1855,62,18598,6775,7561,180,0,120,1,8.292,2.62
Gen_Data_300_0.7_4_Run3,2357.1,19.64,13,0,3026.1715903439776,15497.294627519484,2036,15,19059,6297,6424,180,0,120,0,1.252,0.42333333333333334
Gen_Data_300_0.7_5_Run3,2404.91,20.04,16,2,5048.9597916750145,15649.817172125515,1376,14,18531,6480,6837,180,0,120,2,3.406,1.19
Gen_Data_300_0.7_6_Run3,2399.93,20.0,11,1,4015.9845438906555,15342.508120488668,1156,0,18010,6204,6321,180,0,120,1,1.765,0.39
Gen_Data_300_0.7_7_Run3,2403.46,20.03,18,2,5087.3977314866315,15547.360601455115,1148,10,18207,6972,7554,180,0,120,2,5.881,1.94
Gen_Data_300_0.7_8_Run3,2402.62,20.02,17,0,3042.0643631109174,15784.10256762786,1159,0,18463,7495,7712,180,0,120,0,3.744,0.7233333333333334
Gen_Data_300_0.7_9_Run3,2396.52,19.97,16,0,3029.184540139029,15178.884316022812,1517,0,18237,6723,6891,180,0,120,0,3.63,0.56
Gen_Data_300_0.7_10_Run3,2389.39,19.91,18,3,6058.820057430819,15593.773184680324,1359,26,18476,6476,6929,180,0,120,3,4.098,1.51
