ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing,ExcessRideTimePrServicedRequest
Gen_Data_500_0.7_1_Run2,4025.87,20.13,16,3,8058.306539307285,25809.22129026158,2472,7,30796,10591,11010,300,0,200,3,2.325,0.838
Gen_Data_500_0.7_2_Run2,4027.78,20.14,19,3,8089.787682925679,25223.661763034226,2142,1,29901,11262,11820,300,0,200,3,3.779,1.116
Gen_Data_500_0.7_3_Run2,4025.95,20.13,20,5,10055.591339595845,25453.087396181927,3248,0,31226,10913,11425,300,0,200,5,3.199,1.024
Gen_Data_500_0.7_4_Run2,4026.57,20.13,19,7,11995.636545633271,25623.995564842597,2516,15,30664,10579,10885,300,0,200,7,2.087,0.612
Gen_Data_500_0.7_5_Run2,4028.45,20.14,19,2,7074.1140195188655,25077.7595263749,1949,2,29555,10596,11031,300,0,200,2,2.966,0.87
Gen_Data_500_0.7_6_Run2,4021.42,20.11,21,7,12055.254323311216,26335.80443688554,2693,6,31542,10208,10683,300,1,200,6,3.173,0.95
Gen_Data_500_0.7_7_Run2,4017.52,20.09,20,2,7027.242985294565,25788.905734237644,3266,15,31604,10684,10905,300,0,200,2,1.949,0.442
Gen_Data_500_0.7_8_Run2,4018.76,20.09,15,4,9013.952120703678,25459.239849707723,3487,5,31470,10624,10903,300,0,200,4,2.988,0.558
Gen_Data_500_0.7_9_Run2,4018.94,20.09,20,4,9081.536733366735,26021.847694382817,2521,48,31060,10343,10913,300,0,200,4,3.476,1.14
Gen_Data_500_0.7_10_Run2,4025.13,20.13,15,0,5102.13737043221,25710.618496729523,2545,80,30803,11291,11854,300,0,200,0,3.25,1.126
