BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean,ExcessRideTimePrServicedRequest_mean
Gen_Data_300_0.7_1,1201.002,0.0,0.0,2.6,5929.680067382112,14534.365343552854,520.8,41.8,16576.2,6385.4,7701.4,0.0,2.6,300.0,0.0,12.847800000000001,4.386666666666667
Gen_Data_300_0.7_2,1200.8319999999999,0.0,0.0,4.0,7346.332974308614,14923.08331502914,586.6,76.2,17004.2,6528.4,8207.6,0.0,4.0,300.0,0.0,14.1992,5.597333333333333
Gen_Data_300_0.7_3,1200.818,0.0,0.0,0.2,3504.2250727497376,14889.68929694946,715.8,64.2,17122.4,6601.4,7836.2,0.0,0.2,300.0,0.0,12.142,4.116
Gen_Data_300_0.7_4,1200.816,0.0,0.0,2.0,5258.1287605854595,14689.453814685476,749.6,69.4,16964.4,6325.2,7497.6,0.0,2.0,300.0,0.0,10.671000000000001,3.908
Gen_Data_300_0.7_5,1200.788,0.0,0.0,4.6,7874.674144373939,14778.909734433162,614.8,75.8,16896.4,6509.0,7965.0,0.0,4.6,300.0,0.0,13.735800000000001,4.8533333333333335
Gen_Data_300_0.7_6,1200.868,0.0,0.0,2.0,5229.076772311298,15052.3636466436,573.0,55.4,17133.6,6745.0,7817.6,0.0,2.0,300.0,0.0,9.9248,3.575333333333334
Gen_Data_300_0.7_7,1201.218,0.0,0.0,1.0,4312.621301065983,15004.308098193393,699.4,94.6,17219.8,6734.8,8188.4,0.0,1.0,300.0,0.0,12.9618,4.8453333333333335
Gen_Data_300_0.7_8,1200.7859999999998,0.0,0.0,1.8,5084.473192053996,14864.836992801243,575.4,92.2,16963.0,6728.8,8060.8,0.0,1.8,300.0,0.0,13.385200000000001,4.44
Gen_Data_300_0.7_9,1200.946,0.0,0.0,0.0,3231.1012725553014,14191.156196434496,729.0,51.6,16442.2,5831.0,6775.0,0.0,0.0,300.0,0.0,10.377799999999999,3.1466666666666665
Gen_Data_300_0.7_10,1200.8419999999999,0.0,0.0,0.0,3234.9084310475723,15057.81358724897,555.0,49.8,17131.4,6981.0,8074.4,0.0,0.0,300.0,0.0,11.694400000000002,3.6446666666666667
