ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing,ExcessRideTimePrServicedRequest,TotalEmptyRelocationTime,TotalNumberOfRequestsOverlapIdleVehicle,TotalDriveTimeToNearestIdleVehicle
Gen_Data_500_0.5_1_Run3,4019.91,20.1,8,56,60709.64079429842,19499.772200359796,1011,23,22780,9002,10194,300,0,200,56,9.18,2.384,1626,68,1634
Gen_Data_500_0.5_2_Run3,4018.62,20.09,3,74,78555.09742635916,19678.268158202594,1265,40,23126,9197,10462,300,0,200,74,10.286,2.53,1266,67,1602
Gen_Data_500_0.5_3_Run3,3994.03,19.97,10,60,64730.234075192086,19443.329676539586,1130,17,22835,9580,11047,300,0,200,60,11.051,2.934,1936,62,1371
Gen_Data_500_0.5_4_Run3,4009.26,20.04,11,65,69564.92370918646,19236.772475824575,1600,14,23063,9096,9999,300,0,200,65,8.57,1.806,2023,71,1562
Gen_Data_500_0.5_5_Run3,4018.2,20.09,6,62,66739.43272329342,19387.425939840283,1352,65,22993,9014,10539,300,0,200,62,10.587,3.05,1597,71,1652
Gen_Data_500_0.5_6_Run3,4004.14,20.02,10,77,81466.15144813522,19273.005447822903,1637,38,23070,8177,9108,300,1,200,76,7.87,1.862,2146,79,1932
Gen_Data_500_0.5_7_Run3,4004.06,20.02,16,44,48962.99727376537,19498.855469926973,1153,71,22989,9655,11221,300,0,200,44,12.097,3.132,2005,85,1855
Gen_Data_500_0.5_8_Run3,4010.3,20.05,9,47,51935.3816706067,19515.16675220953,1244,56,23087,9568,11437,300,0,200,47,12.957,3.738,1477,76,1649
Gen_Data_500_0.5_9_Run3,4002.73,20.01,10,54,58729.64334584129,19165.01837449349,1583,45,23035,8969,10027,300,0,200,54,9.155,2.116,1814,88,2124
Gen_Data_500_0.5_10_Run3,4018.56,20.09,9,65,69818.76458592463,19848.153718393907,1004,75,23090,9589,11465,300,0,200,65,12.917,3.752,1636,52,1119
