Case_1,Case_2,Case_3,Case_4,Case_5,Case_6,Instance
16.6,0.6,52.6,1.2,49.0,0.0,Y_1
18.8,3.8,63.4,2.2,31.8,0.0,Y_2
24.0,0.6,57.2,1.2,37.0,0.0,Y_3
12.2,0.6,59.8,1.2,46.2,0.0,Y_4
19.8,1.0,53.2,1.4,44.6,0.0,Y_5
17.6,1.8,57.4,1.6,41.6,0.0,Y_6
26.8,2.4,49.2,0.8,40.8,0.0,Y_7
22.0,2.2,47.6,1.8,46.4,0.0,Y_8
16.4,2.4,63.0,1.2,37.0,0.0,Y_9
24.4,2.8,57.4,1.8,33.6,0.0,Y_10
