ScenarioName,TotalCost,nTaxi
Gen_Data_100_1,7991.737945648369,7
Gen_Data_100_2,4098.5041590675455,3
Gen_Data_100_3,9957.220161033893,9
Gen_Data_100_4,11039.402231763119,10
Gen_Data_100_5,6030.881404773894,5
Gen_Data_100_6,8061.707564580454,7
Gen_Data_100_7,5074.046493575779,4
Gen_Data_100_8,7039.526998270074,6
Gen_Data_100_9,7175.988924607632,6
Gen_Data_100_10,6001.500418373934,5
