ScenarioName,TotalCost,nTaxi
Gen_Data_100_1,1990.0000000004093,1
Gen_Data_100_2,1015.2553656282344,0
Gen_Data_100_3,1997.9090529826153,1
Gen_Data_100_4,2020.1153312684128,1
Gen_Data_100_5,1010.485652712021,0
Gen_Data_100_6,2013.8962373717804,1
Gen_Data_100_7,2995.1247167416095,2
Gen_Data_100_8,1001.7647058822986,0
Gen_Data_100_9,1068.8390356041373,0
Gen_Data_100_10,999.9999999999163,0
