DataSize,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing
20,3.4859999999999998,0.174,0.0,19.0,19010.0,53.83660736500593,10.4,0.0,2157.6,22.0,22.0,0.0,0.0,20.0,19.0,0.0
100,60.176,0.608,1.6,68.2,68595.67414980884,1368.4068307314715,320.8,1.4,6822.0,596.0,843.6,1.2,0.4,98.8,67.8,4.9644
300,542.592,1.8200000000000003,15.2,187.2,188848.72142958894,4438.624573370366,523.0,4.4,19003.0,2431.2,4249.4,2.0,1.2,298.0,186.0,10.8896
