id,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,request_type,request_time,call_time,direct_drive_time
1,59.930198,10.609404,59.907635,10.563608,1,540,0.0,4
2,59.907635,10.563608,59.930198,10.609404,0,920,479.0,0
3,59.959034,10.358874,59.874773,10.498504,1,540,0.0,13
4,59.874773,10.498504,59.959034,10.358874,0,870,445.0,0
5,59.926579,10.435982,59.925662,10.452647,1,420,0.0,1
6,59.604146,10.749486,59.589146,10.666161,0,880,593.0,0
7,59.600688,10.659178,59.604056,10.749636,0,598,436.0,0
8,59.604056,10.749636,59.600688,10.659178,0,900,0.0,0
9,59.598712,10.655494,59.604056,10.749636,0,1196,490.0,0
10,59.664603,10.767295,59.685945,10.753603,0,1055,895.0,0
11,59.734211,11.130775,59.71047,11.195313,0,965,0.0,0
12,59.632427,10.69418,59.604056,10.749636,1,480,0.0,5
13,59.780433,11.17557,60.101929,11.064498,0,905,0.0,0
14,59.569626,10.840697,59.604056,10.749636,1,420,0.0,7
15,59.604056,10.749636,59.569626,10.840697,0,1050,668.0,0
16,59.604056,10.749636,59.631012,10.763176,0,955,0.0,0
17,59.673779,10.655563,59.501431,10.686709,0,945,525.0,0
18,59.501431,10.686709,59.673779,10.655563,1,420,0.0,20
19,59.717324,10.776427,59.687647,10.775284,0,1035,0.0,0
20,59.687647,10.775284,59.717324,10.776427,1,420,0.0,4
21,59.799573,11.471548,59.927453,11.441955,1,720,0.0,15
22,59.927453,11.441955,59.799573,11.471548,0,910,0.0,0
23,59.949883,11.01193,59.975335,10.999218,0,600,0.0,0
24,59.988342,11.105303,59.929512,10.961269,0,920,696.0,0
25,59.9976,11.0178,59.95472,11.046121,1,480,0.0,6
26,59.95472,11.046121,59.9976,11.0178,0,900,593.0,0
27,59.922336,10.959432,59.965418,11.040337,0,900,442.0,0
28,60.002683,11.030508,59.922336,10.959432,0,880,378.0,0
29,59.965418,11.040337,59.922336,10.959432,0,500,0.0,0
30,59.962767,11.490105,59.982423,11.522346,0,1040,433.0,0
31,59.982423,11.522346,59.962767,11.490105,1,420,0.0,3
32,59.723207,11.466514,60.120953,11.46483,1,480,0.0,45
33,59.950492,11.447948,59.971507,11.475545,0,1040,451.0,0
34,60.002683,11.030508,59.932497,11.127337,0,880,684.0,0
35,59.995366,11.018009,59.917918,10.74313,1,480,0.0,18
36,59.917918,10.74313,59.995366,11.018009,0,945,419.0,0
37,59.919986,10.978436,59.925523,11.065997,0,800,397.0,0
38,59.925523,11.065997,59.919986,10.978436,1,480,0.0,5
39,59.946029,11.210642,59.985346,11.240226,1,420,0.0,5
40,59.962767,11.490105,59.985844,11.509855,0,1040,0.0,0
41,59.952239,11.046182,60.360484,11.357238,0,900,0.0,0
42,60.066166,11.037068,59.929512,10.961269,0,935,0.0,0
43,59.699878,11.407882,59.727039,11.418596,1,420,0.0,4
44,59.903571,11.5926,59.950577,11.751773,0,1020,658.0,0
45,59.941031,11.208179,59.928919,11.177064,1,480,0.0,3
46,59.928919,11.177064,59.941031,11.208179,0,920,503.0,0
47,60.29276,11.156628,60.319561,11.247243,1,540,0.0,6
48,60.319561,11.247243,60.29276,11.156628,0,910,0.0,0
49,60.121457,11.099291,60.141813,11.176445,1,420,0.0,5
50,60.021727,11.16407,60.022712,11.103292,1,420,0.0,4
51,60.120953,11.46483,59.723207,11.466514,0,900,475.0,0
52,60.439056,10.971875,60.4107,11.0593,1,420,0.0,6
53,60.4107,11.0593,60.439056,10.971875,0,1055,805.0,0
54,60.287412,11.169635,60.441808,11.058327,0,1050,0.0,0
55,60.441808,11.058327,60.287412,11.169635,1,420,0.0,19
56,60.4107,11.0593,60.445138,10.964783,0,930,424.0,0
57,60.445138,10.964783,60.4107,11.0593,1,420,0.0,7
58,60.392616,11.214552,60.146554,11.18365,1,480,0.0,28
59,60.017084,11.406265,59.944864,10.86324,1,480,0.0,32
60,60.328985,11.248871,60.404994,11.243892,0,1020,681.0,0
61,60.404994,11.243892,60.328985,11.248871,1,420,0.0,9
62,60.101929,11.064498,59.780433,11.17557,1,600,428.0,37
63,59.985346,11.240226,59.946029,11.210642,0,1025,493.0,0
64,60.02092,11.226297,60.069193,11.265125,0,1050,822.0,0
65,60.425548,10.988553,60.4107,11.0593,1,420,0.0,5
66,60.4107,11.0593,60.425548,10.988553,0,1055,503.0,0
67,60.068261,11.214483,60.07601,11.138006,1,420,0.0,5
68,60.07601,11.138006,60.068261,11.214483,0,950,0.0,0
69,60.360484,11.357238,59.952239,11.046182,1,540,0.0,49
70,59.929512,10.961269,60.066166,11.037068,0,490,0.0,0
71,60.253327,11.59704,60.233793,11.561111,1,420,0.0,3
72,60.449762,10.801898,60.4107,11.0593,1,420,0.0,15
73,60.123722,11.465924,60.157929,11.537761,0,1050,846.0,0
74,60.3913,11.199589,60.328985,11.248871,1,420,0.0,8
75,60.048435,11.376631,60.200664,11.07403,1,900,669.0,24
76,60.200664,11.07403,60.048435,11.376631,0,1320,797.0,0
77,60.134296,11.47402,60.129591,11.476333,0,915,370.0,0
78,60.129591,11.476333,60.134296,11.47402,0,610,0.0,0
