Scenario,BaseValue,RS1,DifferenceRS1,PercentDifferenceRS1,RS2,DifferenceRS2,PercentDifferenceRS2
Inst. 1,2.39,2.35,-0.04,-1.67,2.4,0.01,0.42
Inst. 2,2.88,2.45,-0.43,-14.93,2.37,-0.51,-17.71
Inst. 3,2.66,2.29,-0.37,-13.91,2.96,0.3,11.28
Inst. 4,2.47,2.44,-0.03,-1.21,2.52,0.05,2.02
Inst. 5,2.73,2.49,-0.24,-8.79,2.68,-0.05,-1.83
Inst. 6,2.09,2.17,0.08,3.83,2.01,-0.08,-3.83
Inst. 7,2.61,2.66,0.05,1.92,2.6,-0.01,-0.38
Inst. 8,3.05,3.04,-0.01,-0.33,2.97,-0.08,-2.62
Inst. 9,2.33,2.46,0.13,5.58,2.43,0.1,4.29
Inst. 10,3.47,2.74,-0.73,-21.04,3.21,-0.26,-7.49
Average,2.67,2.51,-0.16,-5.06,2.62,-0.05,-1.59
