Case_1,Case_2,Case_3,Case_4,Case_5,Case_6,Instance
8.8,0.2,24.2,1.8,5.0,0.0,Y_1
8.6,0.2,19.2,1.6,10.4,0.0,Y_2
11.2,0.2,20.4,1.6,6.6,0.0,Y_3
14.0,0.2,16.8,2.4,6.6,0.0,Y_4
8.8,0.0,23.6,1.0,6.6,0.0,Y_5
9.4,0.6,20.4,1.4,8.2,0.0,Y_6
8.4,0.6,23.2,1.4,6.4,0.0,Y_7
8.8,0.4,23.6,1.0,6.2,0.0,Y_8
11.0,0.4,19.2,2.0,7.4,0.0,Y_9
5.8,0.4,28.2,1.4,4.2,0.0,Y_10
