ScenarioName,TotalCost,nTaxi
Gen_Data_300_1,8270.197674973952,5
Gen_Data_300_1,8284.5843596792,5
Gen_Data_300_2,12228.541607605293,9
Gen_Data_300_2,9313.393382632334,6
Gen_Data_300_3,11318.28074764659,8
Gen_Data_300_3,11284.146113328208,8
Gen_Data_300_4,7284.406051527101,4
Gen_Data_300_4,6216.293573042225,3
Gen_Data_300_5,9414.935657643931,6
Gen_Data_300_5,12413.468632091772,9
Gen_Data_300_6,9286.202845495196,6
Gen_Data_300_6,10192.691132663018,7
Gen_Data_300_7,5263.323423633847,2
Gen_Data_300_7,4450.8036332441225,1
Gen_Data_300_8,4232.713866985343,1
Gen_Data_300_8,6319.22664639146,3
Gen_Data_300_9,8286.96021916061,5
Gen_Data_300_9,8242.12665977632,5
Gen_Data_300_10,11286.310500544116,8
Gen_Data_300_10,9326.018025460507,6
