ScenarioName,TotalCost_mean,nTaxi_mean
Gen_Data_300_1,6737.900423442804,3.5
Gen_Data_300_2,10780.953320087086,7.5
Gen_Data_300_3,10545.38318985966,7.2
Gen_Data_300_4,6122.221895518685,2.9
Gen_Data_300_5,9651.913561463532,6.2
Gen_Data_300_6,9745.26257121764,6.5
Gen_Data_300_7,5623.120468437976,2.3
Gen_Data_300_8,5766.895304026633,2.5
Gen_Data_300_9,8555.925725514235,5.3
Gen_Data_300_10,8114.890862900994,4.8
