longitude,latitude
10.542664,59.910767
10.510822,59.953709
10.510822,59.953709
10.542664,59.910767
10.358874,59.959034
10.498504,59.874773
10.435982,59.926579
10.452647,59.925662
10.749486,59.604146
10.666161,59.589146
10.659178,59.600688
10.749636,59.604056
10.767295,59.664603
10.753603,59.685945
11.195313,59.71047
11.146744,59.763913
11.130775,59.734211
11.195313,59.71047
11.146331,59.69715
11.130775,59.734211
11.17557,59.780433
11.064498,60.101929
10.840697,59.569626
10.749636,59.604056
10.749636,59.604056
10.840697,59.569626
10.823631,59.75877
10.830694,59.754655
10.830694,59.754655
10.823631,59.75877
10.749636,59.604056
10.763176,59.631012
10.763176,59.631012
10.749636,59.604056
10.655563,59.673779
10.686709,59.501431
10.686709,59.501431
10.655563,59.673779
10.775284,59.687647
10.776427,59.717324
10.776427,59.717324
10.775284,59.687647
11.471548,59.799573
11.441955,59.927453
11.441955,59.927453
11.471548,59.799573
11.01193,59.949883
10.999218,59.975335
11.055236,59.971106
10.961269,59.929512
11.046121,59.95472
11.0178,59.9976
11.0178,59.9976
11.046121,59.95472
10.959432,59.922336
11.040337,59.965418
11.040337,59.965418
10.959432,59.922336
11.522346,59.982423
11.490105,59.962767
11.466514,59.723207
11.46483,60.120953
11.447948,59.950492
11.475545,59.971507
11.030508,60.002683
11.127337,59.932497
11.018009,59.995366
10.74313,59.917918
10.74313,59.917918
11.018009,59.995366
10.978436,59.919986
11.065997,59.925523
11.065997,59.925523
10.978436,59.919986
11.210642,59.946029
11.240226,59.985346
11.490105,59.962767
11.509855,59.985844
11.046182,59.952239
11.263501,60.191222
11.037068,60.066166
10.961269,59.929512
11.208179,59.941031
11.177064,59.928919
11.177064,59.928919
11.208179,59.941031
11.415723,59.697891
11.418596,59.727039
11.449937,59.718607
11.415723,59.697891
11.156628,60.29276
11.247243,60.319561
11.247243,60.319561
11.156628,60.29276
11.129748,60.155502
11.190737,60.251924
11.190737,60.251924
11.129748,60.155502
11.099291,60.121457
11.176445,60.141813
11.46483,60.120953
11.466514,59.723207
10.971875,60.439056
11.0593,60.4107
11.0593,60.4107
10.971875,60.439056
11.245206,60.404827
11.167248,60.301399
11.058327,60.441808
11.169635,60.287412
10.964783,60.445138
11.0593,60.4107
11.214552,60.392616
11.18365,60.146554
10.86324,59.944864
11.406265,60.017084
11.248871,60.328985
11.243892,60.404994
11.243892,60.404994
11.248871,60.328985
11.064498,60.101929
11.17557,59.780433
11.240226,59.985346
11.210642,59.946029
11.226297,60.02092
11.265125,60.069193
11.0593,60.4107
10.988553,60.425548
10.988553,60.425548
11.0593,60.4107
11.263501,60.191222
11.046182,59.952239
10.961269,59.929512
11.037068,60.066166
11.59704,60.253327
11.561111,60.233793
11.561111,60.233793
11.59704,60.253327
11.199589,60.3913
11.248871,60.328985
11.214234,60.330172
11.199589,60.3913
11.47402,60.134296
11.476333,60.129591
11.476333,60.129591
11.47402,60.134296
11.103292,60.022712
11.357553,59.972366
10.609404,59.930198
10.542664,59.910767
10.542664,59.910767
10.609404,59.930198
10.498504,59.874773
10.358874,59.959034
10.8832,59.7654
10.836925,59.750213
11.105303,59.988342
10.961269,59.929512
11.030508,60.002683
10.959432,59.922336
11.490105,59.962767
11.522346,59.982423
11.046182,59.952239
11.357238,60.360484
10.993415,60.08722
10.961269,59.929512
11.407882,59.699878
11.418596,59.727039
11.176445,60.141813
11.099291,60.121457
11.16407,60.021727
11.103292,60.022712
11.0593,60.4107
10.964783,60.445138
11.406265,60.017084
10.86324,59.944864
11.23648,59.981093
10.792274,59.933735
10.792274,59.933735
11.23648,59.981093
11.357238,60.360484
11.046182,59.952239
10.801898,60.449762
11.0593,60.4107
11.0593,60.4107
10.801898,60.449762
11.206106,60.25252
11.244182,60.300282
10.563608,59.907635
10.609404,59.930198
10.609404,59.930198
10.563608,59.907635
10.69418,59.632427
10.749636,59.604056
11.103292,60.022712
11.16407,60.021727
11.169635,60.287412
11.058327,60.441808
11.214483,60.068261
11.138006,60.07601
11.465924,60.123722
11.537761,60.157929
11.537761,60.157929
11.465924,60.123722
11.294225,60.334828
11.248871,60.328985
11.0593,60.4107
10.915713,60.425148
10.510822,59.953709
10.563608,59.907635
10.563608,59.907635
10.510822,59.953709
10.660715,59.601353
10.749636,59.604056
10.749636,59.604056
10.660715,59.601353
11.5926,59.903571
11.751773,59.950577
11.486235,59.819997
11.517573,59.805357
11.240226,59.985346
11.205094,59.958734
11.226297,60.02092
11.259076,60.067222
11.138006,60.07601
11.214483,60.068261
10.749636,59.604056
10.659178,59.600688
10.655494,59.598712
10.749636,59.604056
11.376631,60.048435
11.07403,60.200664
11.07403,60.200664
11.376631,60.048435
10.672229,59.635075
10.65247,59.672538
10.65247,59.672538
10.672229,59.635075
11.206782,59.961768
11.177064,59.928919
11.044606,59.952426
10.938867,59.976774
11.262108,60.336643
11.156628,60.29276
11.262108,60.336643
11.271548,60.082467
11.262108,60.336643
11.472859,60.120493
11.240226,59.985346
11.816682,59.891609
12.060445,59.976945
11.240226,59.985346
11.240226,59.985346
12.060445,59.976945
11.218985,60.394568
11.248871,60.328985
11.588946,59.879305
12.138335,59.971423
12.138335,59.971423
11.588946,59.879305
