time
540
540
420
420
420
420
480
420
420
420
720
480
420
480
480
480
420
480
420
540
480
420
420
420
420
420
480
420
600
420
540
420
420
540
420
420
420
1320
420
540
420
540
480
420
420
360
540
900
495
450
460
