time
920
540
540
420
880
785
1055
420
965
420
905
420
1050
480
760
955
420
945
420
420
1035
720
910
600
920
900
480
900
500
420
480
1040
880
480
945
800
480
420
1040
900
935
480
920
420
960
540
910
480
910
420
900
420
1055
420
420
420
480
1340
1020
420
600
1025
1050
1055
420
540
490
420
940
420
1040
915
610
915
540
920
870
420
920
880
1040
900
935
420
1030
420
930
1320
420
930
540
420
1055
1040
920
540
480
1050
1050
420
1050
420
360
1050
540
920
458
1180
1020
1035
1025
905
950
900
1196
900
1320
495
870
450
1010
925
925
925
937
375
937
460
966
367
