ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing,ExcessRideTimePrServicedRequest,TotalEmptyRelocationTime,TotalNumberOfRequestsOverlapIdleVehicle,TotalDriveTimeToNearestIdleVehicle
Gen_Data_500_0.7_1_Run5,4992.58,9.98,34,109,113232.00309885474,23806.131026157072,6482,77,32400,7836,8914,0,0,500,109,6.769,2.156,11798,453,10037
Gen_Data_500_0.7_2_Run5,5011.6,10.02,29,114,118163.925224408,24406.29190511837,5906,11,32399,8402,9531,0,0,500,114,7.474,2.258,11567,427,10685
Gen_Data_500_0.7_3_Run5,4242.34,8.48,24,92,96411.2676287392,23880.197804662635,6317,14,32400,8524,9468,0,0,500,92,7.177,1.888,10978,476,10926
Gen_Data_500_0.7_4_Run5,4873.07,9.74,24,104,108294.3565403427,23910.877451803848,6345,1,32397,8310,9276,0,0,500,104,5.66,1.932,11503,458,11657
Gen_Data_500_0.7_5_Run5,4442.64,8.88,29,87,91477.4469861984,23784.381950475392,6374,50,32400,8333,9322,0,0,500,87,8.237,1.978,11723,460,11572
Gen_Data_500_0.7_6_Run5,4225.36,8.45,35,84,88454.35767468683,24262.1256006836,5908,14,32400,8514,9448,0,0,500,84,7.113,1.868,10995,454,12889
Gen_Data_500_0.7_7_Run5,5013.06,10.02,24,103,107476.9744103285,24684.379927127822,5551,19,32397,8196,9871,0,0,500,103,10.193,3.35,11539,447,12547
Gen_Data_500_0.7_8_Run5,5196.81,10.39,33,117,121001.04544089914,24276.693406391296,6037,5,32400,7870,8437,0,0,500,117,4.791,1.134,12297,479,12591
Gen_Data_500_0.7_9_Run5,4931.19,9.86,20,119,122972.81453999816,23753.097036112475,6558,8,32400,7753,8266,0,0,500,119,3.724,1.026,11879,464,10421
Gen_Data_500_0.7_10_Run5,4877.06,9.75,33,99,103351.4427715718,24132.99747065127,6084,0,32400,8606,9575,0,0,500,99,6.058,1.938,11345,490,13199
