Scenario,BaseValue,RS1,DifferenceRS1,PercentDifferenceRS1,RS2,DifferenceRS2,PercentDifferenceRS2,WF,DifferenceWait,PercentDifferenceWait
Inst. 1,39.35,43.5,4.15,10.55,32.39,-6.96,-17.69,14.0,-25.35,-64.42
Inst. 2,40.06,34.58,-5.48,-13.68,33.29,-6.77,-16.9,15.0,-25.06,-62.56
Inst. 3,41.88,53.55,11.67,27.87,38.56,-3.32,-7.93,15.0,-26.88,-64.18
Inst. 4,44.89,37.17,-7.72,-17.2,41.88,-3.01,-6.71,16.0,-28.89,-64.36
Inst. 5,33.95,39.4,5.45,16.05,36.74,2.79,8.22,13.0,-20.95,-61.71
Inst. 6,43.18,37.22,-5.96,-13.8,39.06,-4.12,-9.54,13.0,-30.18,-69.89
Inst. 7,47.25,40.62,-6.63,-14.03,41.79,-5.46,-11.56,17.0,-30.25,-64.02
Inst. 8,40.0,42.12,2.12,5.3,39.35,-0.65,-1.62,13.0,-27.0,-67.5
Inst. 9,47.6,43.7,-3.9,-8.19,41.05,-6.55,-13.76,16.0,-31.6,-66.39
Inst. 10,50.61,33.25,-17.36,-34.3,50.06,-0.55,-1.09,16.0,-34.61,-68.39
Average,42.88,40.51,-2.37,-4.14,39.42,-3.46,-7.86,14.8,-28.08,-65.34
