ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing,ExcessRideTimePrServicedRequest
Gen_Data_500_0.7_1_Run4,3294.36,6.59,17,53,57667.939203056034,22441.046040026133,5954,0,30763,9360,9915,0,0,500,53,3.799,1.11
Gen_Data_500_0.7_2_Run4,3264.07,6.53,23,57,61610.33757295425,24243.09031554323,4461,3,31047,10113,10678,0,0,500,57,4.406,1.13
Gen_Data_500_0.7_3_Run4,3281.94,6.56,10,54,58559.08006739844,23490.65843577662,5379,0,31226,9174,9439,0,0,500,54,1.674,0.53
Gen_Data_500_0.7_4_Run4,3300.13,6.6,14,49,53590.039942273674,23626.509008564277,4939,1,30954,9551,9772,0,0,500,49,1.853,0.442
Gen_Data_500_0.7_5_Run4,3165.7,6.33,18,33,37835.78894976187,23015.642432659464,5395,0,30878,9558,10074,0,0,500,33,3.259,1.032
Gen_Data_500_0.7_6_Run4,3486.0,6.97,18,56,60575.41554935199,23389.45279618265,4882,5,30607,9296,9790,0,0,500,56,3.391,0.988
Gen_Data_500_0.7_7_Run4,3134.63,6.27,21,48,52645.62940320855,23278.756474765138,5158,0,30817,9635,10071,0,0,500,48,2.629,0.872
Gen_Data_500_0.7_8_Run4,3400.5,6.8,13,59,63503.64142581066,23304.604744076118,5124,0,30772,9909,10165,0,0,500,59,1.853,0.512
Gen_Data_500_0.7_9_Run4,3515.72,7.03,10,67,71414.42436203758,23038.739325132836,5430,0,30759,9241,9540,0,0,500,67,2.398,0.598
Gen_Data_500_0.7_10_Run4,3396.96,6.79,17,44,48703.437970285,23229.9471086753,5379,1,31027,9719,10212,0,0,500,44,3.844,0.986
