ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing,ExcessRideTimePrServicedRequest
Gen_Data_500_0.7_1_Run4,3531.31,7.06,23,70,74478.55129201035,24648.643571302073,3613,0,30550,8922,9359,0,0,500,70,4.062,0.874
Gen_Data_500_0.7_2_Run4,3812.62,7.63,25,85,89365.50910790704,25581.23601893614,3166,4,30948,9292,9994,0,0,500,85,5.526,1.404
Gen_Data_500_0.7_3_Run4,3467.48,6.93,28,62,66527.01015732961,24827.499070223363,3864,4,31024,9155,9584,0,0,500,62,3.155,0.858
Gen_Data_500_0.7_4_Run4,3513.92,7.03,20,65,69480.53608793717,24635.463129928674,4091,0,31045,9056,9355,0,0,500,65,2.303,0.598
Gen_Data_500_0.7_5_Run4,3699.05,7.4,30,59,63603.67028193073,24814.634083272882,3873,1,31042,9081,9804,0,0,500,59,6.144,1.446
Gen_Data_500_0.7_6_Run4,3535.49,7.07,25,61,65551.20755223471,24417.331753767114,4040,0,30786,9106,9606,0,0,500,61,4.842,1.0
Gen_Data_500_0.7_7_Run4,3690.57,7.38,24,76,80451.9646645636,25217.802598647733,3360,0,30856,8868,9408,0,0,500,76,3.328,1.08
Gen_Data_500_0.7_8_Run4,3797.13,7.59,30,85,89322.35390639903,25588.67275567274,3107,0,30902,9007,9603,0,0,500,85,4.037,1.192
Gen_Data_500_0.7_9_Run4,3759.58,7.52,21,82,86376.0533936007,24960.075476258822,3988,5,31169,8850,9440,0,0,500,82,3.651,1.18
Gen_Data_500_0.7_10_Run4,3682.39,7.36,32,65,69526.95676648985,25508.14039603251,3442,2,31284,9416,9940,0,0,500,65,4.428,1.048
