ScenarioName,TotalCost_mean,nTaxi_mean
Gen_Data_500_1,37784.27758944112,32.2
Gen_Data_500_2,30156.563320322854,24.6
Gen_Data_500_3,38590.415525954784,33.0
Gen_Data_500_4,26045.578329343356,20.6
Gen_Data_500_5,24711.092953539763,19.2
Gen_Data_500_6,28834.720112969946,23.2
Gen_Data_500_7,25835.801442390562,20.2
Gen_Data_500_8,27270.093917098256,21.8
Gen_Data_500_9,43533.4013837325,38.0
Gen_Data_500_10,22899.97121115165,17.2
