ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests
Gen_Data_20_1,3.12,0.39,2,5,5155.714285714285,1412.924417054607,556,0,2047,650,674,12,4,8,1
Gen_Data_20_2,14.32,1.79,0,4,4199.981196444862,1695.2313913563025,529,0,2312,817,1014,12,1,8,3
Gen_Data_20_3,3.5,0.44,0,8,8127.206989247312,1167.799079556489,831,0,2067,589,633,12,4,8,4
Gen_Data_20_4,3.36,0.42,0,6,6154.098268398268,1325.7134049309554,794,0,2192,593,664,12,2,8,4
Gen_Data_20_5,2.97,0.37,1,8,8125.641025641025,1175.8963141884492,812,0,2052,519,541,12,2,8,6
Gen_Data_20_6,2.97,0.37,1,7,7151.438875469673,1396.0810759623712,706,0,2166,644,786,12,3,8,4
Gen_Data_20_7,3.28,0.41,1,9,9110.0,1252.7966309239246,929,0,2601,538,538,12,3,8,6
Gen_Data_20_8,2.52,0.32,0,7,7136.03455648502,1151.3780390268803,707,0,1928,458,495,12,4,8,3
Gen_Data_20_9,3.1,0.39,2,7,7130.0,1298.1654529911143,898,0,2263,530,530,12,3,8,4
Gen_Data_20_10,12.82,1.6,3,4,4163.962178726224,1533.68967066945,538,0,2153,808,840,12,0,8,4
