BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean,ExcessRideTimePrServicedRequest_mean
Gen_Data_100_0.7_1,923.72,9.236,0.0,43.0,43624.231410182314,4786.0733341693385,1143.0,2.0,6254.0,1264.0,1374.0,0.0,0.0,100.0,43.0,5.877,1.1
Gen_Data_100_0.7_2,878.8800000000001,8.788,2.8,40.4,41008.820512820515,4909.01981709788,1227.4,0.0,6476.6,1160.2,1210.2,0.0,0.0,100.0,40.4,1.2104,0.5
Gen_Data_100_0.7_3,827.392,8.276,3.0,38.0,38643.89855072464,4788.28259593051,1249.0,0.0,6383.4,1313.0,1376.0,0.0,0.0,100.0,38.0,2.256,0.63
Gen_Data_100_0.7_4,893.516,8.935999999999998,3.0,41.0,41610.46074879227,4878.70554460127,1176.0,0.0,6385.0,1382.0,1469.0,0.0,0.0,100.0,41.0,5.439,0.8699999999999999
Gen_Data_100_0.7_5,795.4999999999999,7.953999999999999,4.0,36.0,36692.82726829862,4674.043299757231,1272.8,0.0,6314.0,1261.8,1396.6,0.0,0.0,100.0,36.0,4.417400000000001,1.348
Gen_Data_100_0.7_6,961.5060000000001,9.614,2.0,45.0,45566.593624240515,5004.4911819043355,1179.0,0.0,6500.0,1261.0,1336.0,0.0,0.0,100.0,45.0,3.684,0.75
Gen_Data_100_0.7_7,811.164,8.111999999999998,0.0,37.0,37636.36363636364,4562.37096100587,1412.0,0.0,6331.0,1088.0,1102.0,0.0,0.0,100.0,37.0,1.053,0.14
Gen_Data_100_0.7_8,851.6659999999999,8.516,1.0,39.0,39616.753607103215,4876.357817808155,1175.0,0.0,6396.0,1295.0,1333.0,0.0,0.0,100.0,39.0,3.158,0.38
Gen_Data_100_0.7_9,1001.094,10.012,1.0,47.0,47540.278840896666,4785.778785634884,1330.0,0.0,6420.0,1147.0,1195.0,0.0,0.0,100.0,47.0,2.368,0.48
Gen_Data_100_0.7_10,996.488,9.964,0.0,47.0,47530.0,4581.1939555819,1531.0,0.0,6425.0,898.0,898.0,0.0,0.0,100.0,47.0,0.0,0.0
