BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean,ExcessRideTimePrServicedRequest_mean
Gen_Data_100_0.7_1,1200.6979999999999,0.0,0.0,13.0,14006.905441395134,4685.4837749063145,310.6,38.2,5436.0,2023.4,2638.8,0.0,13.0,100.0,0.0,15.375,6.154000000000001
Gen_Data_100_0.7_2,1200.7239999999997,0.0,0.0,5.0,6097.16114324975,5036.449368217669,310.6,29.2,5829.4,2141.6,2764.8,0.0,5.0,100.0,0.0,12.8984,6.232
Gen_Data_100_0.7_3,1200.818,0.0,0.0,6.4,7491.945716122823,4942.382565599828,303.8,23.2,5719.2,1961.4,2561.2,0.0,6.4,100.0,0.0,14.414599999999998,5.998
Gen_Data_100_0.7_4,1200.736,0.0,0.0,6.2,7341.1733959747335,4946.158376649074,287.8,38.0,5710.4,2170.2,2965.8,0.0,6.2,100.0,0.0,18.3144,7.956
Gen_Data_100_0.7_5,1200.6979999999999,0.0,0.0,5.0,5993.939245508484,4609.700511057885,357.0,15.4,5455.0,1843.2,2051.0,0.0,5.0,100.0,0.0,8.613800000000001,2.078
Gen_Data_100_0.7_6,1200.866,0.0,0.0,4.8,5876.193664336682,4952.706024740359,241.2,36.8,5679.0,2162.4,2703.8,0.0,4.8,100.0,0.0,12.9178,5.414
Gen_Data_100_0.7_7,1200.9180000000001,0.0,0.0,4.4,5486.797352373162,4685.2030161662315,363.4,12.0,5535.6,1800.6,2221.4,0.0,4.4,100.0,0.0,10.7324,4.208
Gen_Data_100_0.7_8,1200.804,0.0,0.0,3.0,4036.990320213851,4903.297230871155,266.2,22.0,5664.0,2037.4,2343.6,0.0,3.0,100.0,0.0,8.799800000000001,3.0620000000000003
Gen_Data_100_0.7_9,1200.6239999999998,0.0,0.0,5.4,6450.15842341045,5015.829634705161,286.4,12.4,5786.8,1994.6,2386.8,0.0,5.4,100.0,0.0,10.743799999999998,3.9219999999999997
Gen_Data_100_0.7_10,1200.81,0.0,0.0,8.4,9440.767983463325,4872.685738817834,380.6,20.2,5721.6,1805.8,2169.4,0.0,8.4,100.0,0.0,9.599999999999998,3.636
