ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing,ExcessRideTimePrServicedRequest
Gen_Data_500_0.7_1_Run5,1201.69,0.0,0,4,9474.028221642213,23422.655556884984,1311,124,27264,10611,12686,0,4,500,0,11.401,4.15
Gen_Data_500_0.7_2_Run5,1202.3,0.0,0,3,8444.617050466059,24833.871408037285,1055,108,28394,11181,13291,0,3,500,0,12.367,4.22
Gen_Data_500_0.7_3_Run5,1201.76,0.0,0,3,8536.69337676201,23842.751867749394,1301,107,27673,10300,12387,0,3,500,0,12.048,4.174
Gen_Data_500_0.7_4_Run5,1202.26,0.0,0,3,8363.92669797362,24086.762951408,1098,55,27704,10480,12231,0,3,500,0,10.512,3.502
Gen_Data_500_0.7_5_Run5,1202.97,0.0,0,0,5425.266654572988,23463.004413030085,1149,35,27142,10404,12069,0,0,500,0,11.135,3.33
Gen_Data_500_0.7_6_Run5,1201.17,0.0,0,0,5497.963384899958,23758.705046876184,904,103,27208,10670,12836,0,0,500,0,13.468,4.332
Gen_Data_500_0.7_7_Run5,1201.92,0.0,0,0,5485.061060850711,23754.042046120783,817,78,27103,10954,12828,0,0,500,0,10.592,3.748
Gen_Data_500_0.7_8_Run5,1201.3,0.0,0,2,7507.267039516992,23962.70220053992,688,123,27178,11203,13557,0,2,500,0,12.747,4.708
Gen_Data_500_0.7_9_Run5,1201.68,0.0,0,5,10603.892959909346,24612.685966421162,924,112,28040,10655,13438,0,5,500,0,13.576,5.566
Gen_Data_500_0.7_10_Run5,1201.26,0.0,0,1,6481.849257101978,24044.781729486196,744,126,27327,10796,12808,0,1,500,0,11.994,4.024
