BaseScenario,TotalElapsedTime_mean,AverageResponseTime_mean,EventsInsertedByALNS_mean,nTaxi_mean,TotalCost_mean,TotalDistance_mean,TotalIdleTime_mean,TotalIdleTimeWithCustomer_mean,TotalRideTime_mean,TotalDirectRideTime_mean,TotalActualRideTime_mean,nOfflineRequests_mean,UnservicedOfflineRequest_mean,nOnlineRequests_mean,UnservicedOnlineRequests_mean,AveragePercentRideSharing_mean,ExcessRideTimePrServicedRequest_mean
Gen_Data_500_0.7_1,3536.566,7.072,22.2,72.6,77076.5497683965,24628.833382243967,3728.2,0.8,30633.6,8958.6,9564.2,0.0,0.0,500.0,72.6,4.9312000000000005,1.2112
Gen_Data_500_0.7_2,3778.6439999999993,7.558,22.8,86.6,90971.4460769125,25606.37592197433,3121.2,1.4,30923.2,9129.0,9893.0,0.0,0.0,500.0,86.6,5.8420000000000005,1.528
Gen_Data_500_0.7_3,3635.71,7.272,25.2,66.0,70549.88564743378,24949.05394911583,3798.6,2.2,31066.8,8972.4,9577.0,0.0,0.0,500.0,66.0,4.0676000000000005,1.2092
Gen_Data_500_0.7_4,3631.2479999999996,7.2620000000000005,22.0,71.4,75841.87972142777,24937.861475463993,3769.4,0.0,30997.0,8922.6,9386.8,0.0,0.0,500.0,71.4,3.0288,0.9283999999999999
Gen_Data_500_0.7_5,3773.078,7.546000000000001,28.0,62.8,67344.93865651978,25002.637438286583,3791.6,0.2,31141.2,8983.0,9583.8,0.0,0.0,500.0,62.8,4.6693999999999996,1.2016
Gen_Data_500_0.7_6,3648.2059999999997,7.296000000000001,30.2,61.6,66175.92441828326,24778.252371471608,3722.6,3.4,30835.4,9110.4,9692.8,0.0,0.0,500.0,61.6,4.763,1.1648
Gen_Data_500_0.7_7,3781.81,7.564,22.2,78.0,82408.58728746147,25334.157200451365,3352.4,2.2,30947.6,8814.0,9390.0,0.0,0.0,500.0,78.0,3.7388,1.152
Gen_Data_500_0.7_8,3641.1639999999998,7.281999999999999,26.6,79.4,83749.76751810452,25395.45651338306,3190.0,2.2,30829.2,9241.4,9715.8,0.0,0.0,500.0,79.4,3.5978000000000003,0.9488
Gen_Data_500_0.7_9,3653.9620000000004,7.308,22.0,84.8,89175.2761874069,24885.244081336725,3984.8,3.0,31086.6,8720.8,9391.0,0.0,0.0,500.0,84.8,4.014799999999999,1.3404
Gen_Data_500_0.7_10,3692.054,7.382,25.8,72.0,76471.09296839226,25439.204180790624,3488.6,1.2,31222.6,9290.0,9874.0,0.0,0.0,500.0,72.0,4.7308,1.168
