Case_1,Case_2,Case_3,Case_4,Case_5,Case_6,Instance
13.0,10.8,81.6,2.4,12.2,0.0,Y_1
11.6,15.2,81.6,2.0,9.6,0.0,Y_2
13.8,12.6,78.0,2.8,12.8,0.0,Y_3
12.8,10.2,84.6,2.0,10.4,0.0,Y_4
15.2,15.8,79.2,2.0,7.8,0.0,Y_5
12.2,14.6,79.0,2.6,11.6,0.0,Y_6
19.6,19.0,71.4,1.4,8.6,0.0,Y_7
15.6,20.6,71.8,2.4,9.6,0.0,Y_8
9.4,18.2,80.2,2.2,10.0,0.0,Y_9
19.0,15.0,76.4,1.6,8.0,0.0,Y_10
