Case_1,Case_2,Case_3,Case_4,Case_5,Case_6,Instance
12.4,21.8,77.8,3.0,5.0,0.0,Y_1
7.6,29.4,77.8,1.0,4.2,0.0,Y_2
13.2,24.0,75.4,1.6,5.8,0.0,Y_3
9.4,20.2,80.6,1.4,8.4,0.0,Y_4
13.6,23.2,78.4,2.0,2.8,0.0,Y_5
12.0,23.4,79.4,1.4,3.8,0.0,Y_6
15.2,32.2,68.4,1.2,3.0,0.0,Y_7
12.0,37.4,66.8,1.0,2.8,0.0,Y_8
9.2,30.6,73.6,3.0,3.6,0.0,Y_9
11.2,27.2,73.0,1.2,7.4,0.0,Y_10
