Case_1,Case_2,Case_3,Case_4,Case_5,Case_6,Instance
NaN,NaN,NaN,NaN,NaN,NaN,Y_1
NaN,NaN,NaN,NaN,NaN,NaN,Y_2
NaN,NaN,NaN,NaN,NaN,NaN,Y_3
NaN,NaN,NaN,NaN,NaN,NaN,Y_4
NaN,NaN,NaN,NaN,NaN,NaN,Y_5
NaN,NaN,NaN,NaN,NaN,NaN,Y_6
NaN,NaN,NaN,NaN,NaN,NaN,Y_7
NaN,NaN,NaN,NaN,NaN,NaN,Y_8
NaN,NaN,NaN,NaN,NaN,NaN,Y_9
NaN,NaN,NaN,NaN,NaN,NaN,Y_10
