ScenarioName,TotalCost,nTaxi
Gen_Data_300_1,5242.350381727858,2
Gen_Data_300_1,6194.41907987115,3
Gen_Data_300_2,14334.566220990411,11
Gen_Data_300_2,8295.359978283243,5
Gen_Data_300_3,11333.999644613272,8
Gen_Data_300_3,12289.102191991484,9
Gen_Data_300_4,4205.8375584454325,1
Gen_Data_300_4,5204.964912949989,2
Gen_Data_300_5,8510.874845417842,5
Gen_Data_300_5,10377.234651141353,7
Gen_Data_300_6,7312.824223553049,4
Gen_Data_300_6,10208.954667559778,7
Gen_Data_300_7,5369.119229065321,2
Gen_Data_300_7,5314.373343262023,2
Gen_Data_300_8,6241.265448839338,3
Gen_Data_300_8,6244.116997772686,3
Gen_Data_300_9,12203.221493980935,9
Gen_Data_300_9,8281.347597033102,5
Gen_Data_300_10,7428.103934900826,4
Gen_Data_300_10,9262.639658185311,6
