ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing,ExcessRideTimePrServicedRequest
Gen_Data_100_0.7_1_Run1,340.07,8.5,10,5,5966.980504845616,5073.960511158621,524,0,6089,2022,2062,60,0,40,5,2.646,0.4
Gen_Data_100_0.7_2_Run1,322.14,8.05,15,1,2029.5937279594111,4801.316038725457,900,3,6213,1997,2185,60,0,40,1,6.665,1.88
Gen_Data_100_0.7_3_Run1,352.62,8.82,12,3,4053.5967628952967,5177.110535609199,602,6,6269,2109,2488,60,0,40,3,8.873,3.79
Gen_Data_100_0.7_4_Run1,412.62,10.32,11,6,7008.029532494587,4676.530196007817,492,13,5653,1939,2238,60,0,40,6,8.393,2.99
Gen_Data_100_0.7_5_Run1,337.06,8.43,11,2,3060.5385812887803,5140.971884556664,429,6,6073,2161,2432,60,0,40,2,6.33,2.71
Gen_Data_100_0.7_6_Run1,321.86,8.05,12,3,4045.7875843404204,4948.088457054683,610,13,6053,2151,2467,60,0,40,3,10.667,3.16
Gen_Data_100_0.7_7_Run1,332.25,8.31,14,5,6056.482845848504,4697.266341351058,746,31,5925,2095,2640,60,0,40,5,13.307,5.45
Gen_Data_100_0.7_8_Run1,364.49,9.11,13,3,4014.030920911784,4594.945624943512,702,48,5797,1880,2094,60,0,40,3,5.247,2.14
Gen_Data_100_0.7_9_Run1,357.44,8.94,13,4,5006.109345606668,5097.946961025498,706,0,6298,2239,2505,60,0,40,4,6.911,2.66
Gen_Data_100_0.7_10_Run1,281.23,7.03,6,0,1045.4041515038912,4988.141408188964,586,0,6091,1887,2078,60,0,40,0,5.344,1.91
