ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing,ExcessRideTimePrServicedRequest
Gen_Data_100_0.7_1_Run1,1200.88,0.0,0,0,1059.664728926508,5267.768163193247,99,0,5877,2178,2395,60,0,40,0,3.77,2.17
Gen_Data_100_0.7_2_Run1,361.64,0.0,0,0,1016.535266772187,5031.41894086229,87,0,5626,2014,2087,60,0,40,0,3.704,0.73
Gen_Data_100_0.7_3_Run1,1201.07,0.0,0,1,1993.9090529824748,5063.799716205307,29,0,5592,2131,2150,60,1,40,0,1.62,0.19
Gen_Data_100_0.7_4_Run1,1200.53,0.0,0,1,2022.2152905338644,4996.833453741173,16,0,5513,2002,2145,60,1,40,0,4.921,1.43
Gen_Data_100_0.7_5_Run1,631.58,0.0,0,0,1012.2737552301542,5214.88850253088,97,0,5818,2234,2289,60,0,40,0,1.72,0.55
Gen_Data_100_0.7_6_Run1,1200.61,0.0,0,1,2006.6059118511039,5027.852473770048,56,0,5584,2190,2270,60,1,40,0,4.66,0.8
Gen_Data_100_0.7_7_Run1,1200.58,0.0,0,2,3003.335258820487,4750.375272215621,40,0,5285,2128,2247,60,2,40,0,4.244,1.19
Gen_Data_100_0.7_8_Run1,621.27,0.0,0,0,1001.7647058823932,4858.964282870258,96,0,5461,1903,1915,60,0,40,0,0.694,0.12
Gen_Data_100_0.7_9_Run1,759.07,0.0,0,0,1070.8695296198657,5149.489823066616,126,0,5792,2360,2741,60,0,40,0,9.398,3.81
Gen_Data_100_0.7_10_Run1,640.29,0.0,0,0,999.9999999998763,4942.518161973356,247,0,5698,1887,1887,60,0,40,0,0.0,0.0
