ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests
Gen_Data_300_1,1195.78,9.96,19,47,49953.0244477179,17768.506996075117,11096,0,30164,10630,12975,180,11,120,36
Gen_Data_300_2,1201.52,10.01,11,45,47789.46931029319,18943.80566862298,8700,0,28961,10613,11955,180,2,120,43
Gen_Data_300_3,1202.71,10.02,14,56,58703.17018386299,17014.85162859944,11594,39,29873,9347,10619,180,18,120,38
Gen_Data_300_4,1199.55,10.0,15,58,60861.94723657926,17865.716826052,9289,21,28400,10479,12994,180,17,120,41
Gen_Data_300_5,1200.61,10.01,15,57,59899.687310648354,17153.623076590655,11204,29,29609,10264,12800,180,27,120,30
Gen_Data_300_6,1193.8,9.95,17,53,55835.16323037146,18016.53356517943,9645,46,28929,10276,12261,180,4,120,49
Gen_Data_300_7,1187.76,9.9,10,55,57873.039528250534,18079.60242827377,10975,53,30332,10800,13096,180,15,120,40
Gen_Data_300_8,1192.41,9.94,15,53,55846.51708736789,18138.72801042316,10219,78,29637,10023,11923,180,13,120,40
Gen_Data_300_9,1203.32,10.03,11,53,55785.348204563044,18661.942458458423,9376,6,29319,10825,12534,180,12,120,41
Gen_Data_300_10,1196.43,9.97,18,54,56826.16360928153,17927.233996771472,11126,7,30325,10259,12272,180,18,120,36
