ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing,ExcessRideTimePrServicedRequest,TotalEmptyRelocationTime,TotalNumberOfRequestsOverlapIdleVehicle,TotalDriveTimeToNearestIdleVehicle
Gen_Data_500_0.7_1_Run3,4126.01,7.94,17,57,61589.61100553171,19123.56271434705,10991,10,32400,9259,9752,0,0,500,57,3.643,0.986,4063,499,6848
Gen_Data_500_0.7_2_Run3,4393.68,8.43,17,72,76454.8321664971,19520.028536521873,10691,26,32400,9605,10291,0,0,500,72,4.303,1.372,4071,500,7123
Gen_Data_500_0.7_3_Run3,3952.39,7.62,12,51,55647.69638915136,19286.283488117835,10809,40,32400,9254,9693,0,0,500,51,3.313,0.878,4211,495,6880
Gen_Data_500_0.7_4_Run3,4013.32,7.77,10,52,56597.623501587885,19326.952574196348,10775,13,32400,9470,9761,0,0,500,52,2.402,0.582,4332,500,5951
Gen_Data_500_0.7_5_Run3,4227.54,8.18,22,52,56622.40002574123,19428.632386642257,10681,18,32400,9120,9534,0,0,500,52,3.246,0.828,3961,500,6701
Gen_Data_500_0.7_6_Run3,4103.14,7.9,18,58,62612.80612688495,19458.735905409896,10668,39,32400,9251,9768,0,0,500,58,3.847,1.034,4119,495,6754
Gen_Data_500_0.7_7_Run3,4010.36,7.73,14,52,56577.19608754414,18992.804079946272,11115,25,32400,9511,9819,0,0,500,52,2.369,0.616,4123,498,6507
Gen_Data_500_0.7_8_Run3,4249.37,8.17,13,62,66515.30594125105,19723.704744104154,10440,54,32400,9830,10263,0,0,500,62,3.14,0.866,4164,500,7110
Gen_Data_500_0.7_9_Run3,4231.29,8.11,15,68,72476.29543617321,19242.70781751216,10942,13,32400,9001,9487,0,0,500,68,3.44,0.972,4542,500,6846
Gen_Data_500_0.7_10_Run3,4280.25,8.27,19,56,60676.52825055038,19315.94515741264,10801,13,32399,9260,9935,0,0,500,56,4.556,1.35,4133,500,7184
