ScenarioName,TotalElapsedTime,AverageResponseTime,EventsInsertedByALNS,nTaxi,TotalCost,TotalDistance,TotalIdleTime,TotalIdleTimeWithCustomer,TotalRideTime,TotalDirectRideTime,TotalActualRideTime,nOfflineRequests,UnservicedOfflineRequest,nOnlineRequests,UnservicedOnlineRequests,AveragePercentRideSharing,ExcessRideTimePrServicedRequest
Gen_Data_100_0.7_1_Run5,351.91,8.8,10,4,4997.990481953616,4923.470281579277,781,0,6200,2071,2258,60,0,40,4,3.075,1.87
Gen_Data_100_0.7_2_Run5,356.98,8.92,9,1,2047.634321889291,4965.615924913766,594,3,6070,1997,2292,60,0,40,1,7.132,2.95
Gen_Data_100_0.7_3_Run5,412.06,10.3,13,3,4024.214460900255,5080.161000602083,649,7,6225,2109,2336,60,0,40,3,7.615,2.27
Gen_Data_100_0.7_4_Run5,426.54,10.66,13,8,8990.178814474377,4867.720649469887,453,13,5795,1917,2238,60,0,40,8,8.245,3.21
Gen_Data_100_0.7_5_Run5,353.3,8.83,9,2,3002.0868679727323,5257.883334584459,324,0,6086,2154,2281,60,0,40,2,5.335,1.27
Gen_Data_100_0.7_6_Run5,376.41,9.41,14,2,3044.1851810249186,5002.438742597906,625,13,6123,2211,2462,60,0,40,2,9.516,2.51
Gen_Data_100_0.7_7_Run5,369.66,9.24,14,5,6034.098198136711,4677.1483622754085,641,18,5804,2095,2546,60,0,40,5,12.037,4.51
Gen_Data_100_0.7_8_Run5,398.89,9.97,16,2,3024.749374158853,4706.042035633863,595,47,5803,1890,2094,60,0,40,2,5.062,2.04
Gen_Data_100_0.7_9_Run5,407.09,10.18,11,4,5012.629867085898,5187.254223549513,641,0,6324,2239,2546,60,0,40,4,6.911,3.07
Gen_Data_100_0.7_10_Run5,338.09,8.45,6,0,1045.4041515038912,4988.141408188964,586,0,6091,1887,2078,60,0,40,0,5.344,1.91
